original,translate
Deep One Priestess does not have a valid target!,深海祭司没有有效的目标！
Deep One Queen does not have a valid target!,深海女王没有有效的目标！
Deep One Warrior does not have a valid target!,深海战士没有有效的目标！
Devolved does not have a valid target!,退化者没有有效的目标！
Ghoul does not have a valid target!,僵尸蝇没有有效的目标！
Frost Ghoul does not have a valid target!,寒霜僵尸蝇没有有效的目标！
Giant Gnat does not have a valid target!,巨型蚊蚋没有有效的目标！
Cave Gnat does not have a valid target!,山洞蚊蚋没有有效的目标！
Fell Hog does not have a valid target!,深渊野猪没有有效的目标！
Dire Hound does not have a valid target!,残酷猎犬没有有效的目标！
Fell Hound does not have a valid target!,深渊猎犬没有有效的目标！
Ice Hound does not have a valid target!,寒冰猎犬没有有效的目标！
Ice Strider does not have a valid target!,寒冰行者没有有效的目标！
Shadow Stalker does not have a valid target!,影踪追踪者没有有效的目标！
Giant Leech does not have a valid target!,巨型血吸虫没有有效的目标！
Albino Leech does not have a valid target!,白化血吸虫没有有效的目标！
Bloodletter does not have a valid target!,血书者没有有效的目标！
Fell Lizard does not have a valid target!,坠落的蜥蜴没有有效的目标！
Alpha Lizard does not have a valid target!,阿尔法蜥蜴没有有效的目标！
Giant Lizard does not have a valid target!,巨型蜥蜴没有有效的目标！
Ice Salamander does not have a valid target!,冰霜蜥蜴没有有效的目标！
Mold Child does not have a valid target!,藻人没有有效的目标！
Ooze does not have a valid target!,黏液怪没有有效的目标！
Flesh Ooze does not have a valid target!,肉状黏液怪没有有效的目标！
Medusa Jelly does not have a valid target!,石化凝胶没有有效的目标！
Risen Ooze does not have a valid target!,复活的黏液怪没有有效的目标！
Magma Ooze does not have a valid target!,熔岩黏液怪没有有效的目标！
Magmite does not have a valid target!,熔岩人没有有效的目标！
Large Ooze does not have a valid target!,大型黏液怪没有有效的目标！
Giant Rat does not have a valid target!,巨型老鼠没有有效的目标！
Dire Rat does not have a valid target!,恶魔老鼠没有有效的目标！
Chitters-In-Darkness does not have a valid target!,黑暗中的细语者没有有效的目标！
Rabid Rat does not have a valid target!,狂暴老鼠没有有效的目标！
Shade does not have a valid target!,阴影没有有效的目标！
Dire Serpent does not have a valid target!,恶魔巨蛇没有有效的目标！
Fell Serpent does not have a valid target!,坠落的巨蛇没有有效的目标！
Giant Snake does not have a valid target!,巨型蟒蛇没有有效的目标！
Fleshstrider does not have a valid target!,肉行者没有有效的目标！
Flying Polyp does not have a valid target!,飞行的多足虫没有有效的目标！
Dragon's Herald does not have a valid target!,龙使没有有效的目标！
Evolved does not have a valid target!,进化者没有有效的目标！
Newborne does not have a valid target!,新生者没有有效的目标！
Vessel does not have a valid target!,容器没有有效的目标！
Stalker does not have a valid target!,跟踪者没有有效的目标！
Giant Spider does not have a valid target!,大型蜘蛛没有有效的目标！
Large Spider does not have a valid target!,大型蜘蛛没有有效的目标！（重复）
Shambler does not have a valid target!,摇摇晃晃者没有有效的目标！
Frost Shambler does not have a valid target!,冰霜摇摇晃晃者没有有效的目标！
Reaver Berserker does not have a valid target!,攻掠狂暴者没有有效的目标！
Brigand Archer does not have a valid target!,海盗弓箭手没有有效的目标！
Brigand Rogue does not have a valid target!,海盗盗贼没有有效的目标！
Brigand Swordsman does not have a valid target!,海盗剑士没有有效的目标！
Mad Sailor does not have a valid target!,疯狂水手没有有效的目标！
Mad Sailo does not have a valid target!,疯狂水手没有有效的目标！（重复）
Guild Magos does not have a valid target!,行会魔导士没有有效的目标！
Guild Mag does not have a valid target!,行会魔没有有效的目标！（重复）
Wight does not have a valid target!,僵尸灵没有有效的目标！
Feral Clone does not have a valid target!,狂暴克隆没有有效的目标！
Jester does not have a valid target!,小丑没有有效的目标！
Reaver Brute does not have a valid target!,拆解壮汉没有有效的目标！
Reaver Scout does not have a valid target!,拆解斥候没有有效的目标！
Reaver does not have a valid target!,拆解者没有有效的目标！
Reaver Blackguard does not have a valid target!,拆解黑卫士没有有效的目标！
Reaver Mystic does not have a valid target!,拆解术士没有有效的目标！
Cultist does not have a valid target!,教派成员没有有效的目标！
Bobbert the Recruit does not have a valid target!,招募兵鲍勃特没有有效的目标！
Wreck Picker does not have a valid target!,拆解拾荒者没有有效的目标！
Oleg the Gray does not have a valid target!,格雷奥列格没有有效的目标！
Red Kala does not have a valid target!,红卡拉没有有效的目标！
The Butcher does not have a valid target!,屠夫没有有效的目标！
Snow does not have a valid target!,雪没有有效的目标！
The Ancient King does not have a valid target!,古老国王没有有效的目标！
Joran the Usurper does not have a valid target!,乔兰篡位者没有有效的目标！
Baroness does not have a valid target!,邦女爵没有有效的目标！
Handmaid does not have a valid target!,女仆没有有效的目标！
Majordomo does not have a valid target!,家丁没有有效的目标！
#Combatant used Maneuver,#战斗者使用了格斗技巧
{PLAYER} used Maneuver,{PLACEHOLDER_0} 使用了格斗技巧
Kat used Maneuver,凯特使用了格斗技巧
Roland used Maneuver,罗兰使用了格斗技巧
Driina used Maneuver,德里娜使用了格斗技巧
Iben used Maneuver,伊本使用了格斗技巧
Iago used Maneuver,伊阿哥使用了格斗技巧
Embla used Maneuver,伊姆bla使用了格斗技巧
Giant Bat used Maneuver,巨蝙蝠使用了格斗技巧
Giant Beetle used Maneuver,巨型甲虫使用了格斗技巧
Rhino Beetle used Maneuver,巨角甲虫使用了格斗技巧
Carrion Crawler used Maneuver,腐肉爬行者使用了格斗技巧
Giant Centipede used Maneuver,巨型蜈蚣使用了格斗技巧
Fell Crab used Maneuver,恶魔螃蟹使用了格斗技巧
Corpse Eater used Maneuver,尸体吞噬者使用了格斗技巧
Giant Crab used Maneuver,巨型螃蟹使用了格斗技巧
Crab used Maneuver,螃蟹使用了格斗技巧
Rot Crab used Maneuver,腐烂螃蟹使用了格斗技巧
Spider Crab used Maneuver,巨型寄居蟹使用了格斗技巧
Brood Guard used Maneuver,群落卫士使用了格斗技巧
Father used Maneuver,父亲使用了格斗技巧
Deep One Priestess used Maneuver,深海女祭司使用了格斗技巧
Deep One Queen used Maneuver,深海女王使用了格斗技巧
Deep One Warrior used Maneuver,深海战士使用了格斗技巧
Devolved used Maneuver,变异生物使用了格斗技巧
Ghoul used Maneuver,地鬼使用了格斗技巧
Frost Ghoul used Maneuver,冰霜地鬼使用了格斗技巧
Giant Gnat used Maneuver,巨型蚊蚋使用了格斗技巧
Cave Gnat used Maneuver,山洞蚊蚋使用了格斗技巧
Fell Hog used Maneuver,残暴野猪使用了格斗技巧
Dire Hound used Maneuver,残暴猎犬使用了格斗技巧
Fell Hound used Maneuver,残暴猎犬使用了格斗技巧
Ice Hound used Maneuver,冰霜猎犬使用了格斗技巧
Ice Strider used Maneuver,冰霜行者使用了格斗技巧
Shadow Stalker used Maneuver,影行者使用了格斗技巧
Giant Leech used Maneuver,巨型吸血藤使用了格斗技巧
Albino Leech used Maneuver,白化吸血藤使用了格斗技巧
Bloodletter used Maneuver,血书使用了格斗技巧
Fell Lizard used Maneuver,残暴蜥蜴使用了格斗技巧
Alpha Lizard used Maneuver,领主蜥蜴使用了格斗技巧
Giant Lizard used Maneuver,巨型蜥蜴使用了格斗技巧
Ice Salamander used Maneuver,冰元素使用了技巧
Mold Child used Maneuver,泥足生物使用了技巧
Ooze used Maneuver,脂膏生物使用了技巧
Flesh Ooze used Maneuver,肉脂膏生物使用了技巧
Medusa Jelly used Maneuver,巨型凝胶生物使用了技巧
Risen Ooze used Maneuver,复生脂膏生物使用了技巧
Magma Ooze used Maneuver,熔岩脂膏生物使用了技巧
Magmite used Maneuver,熔铁使用了技巧
Large Ooze used Maneuver,大型脂膏生物使用了技巧
Giant Rat used Maneuver,大鼠使用了技巧
Dire Rat used Maneuver,巨型鼠使用了技巧
Chitters-In-Darkness used Maneuver,黑暗中的窃窃私语者使用了技巧
Rabid Rat used Maneuver,狂暴鼠使用了技巧
Shade used Maneuver,阴影使用了技巧
Dire Serpent used Maneuver,巨型毒蛇使用了技巧
Fell Serpent used Maneuver,恶魔毒蛇使用了技巧
Giant Snake used Maneuver,巨型蟒蛇使用了技巧
Fleshstrider used Maneuver,肉行者使用了技巧
Flying Polyp used Maneuver,飞行的水泡使用了技巧
Dragon's Herald used Maneuver,龙的使者使用了技巧
Evolved used Maneuver,进化者使用了动作
Newborne used Maneuver,新生者使用了动作
Vessel used Maneuver,载具使用了动作
Stalker used Maneuver,跟踪者使用了动作
Giant Spider used Maneuver,巨型蜘蛛使用了动作
Large Spider used Maneuver,大型蜘蛛使用了动作
Shambler used Maneuver,摇摇晃晃者使用了动作
Frost Shambler used Maneuver,寒霜摇摇晃晃者使用了动作
Reaver Berserker used Maneuver,攫取狂战士使用了动作
Brigand Archer used Maneuver,海盗弓手使用了动作
Brigand Rogue used Maneuver,海盗盗贼使用了动作
Brigand Swordsman used Maneuver,海盗剑士使用了动作
Mad Sailor used Maneuver,疯狂水手使用了动作
Mad Sailo used Maneuver,疯狂水手使用了动作
Guild Magos used Maneuver,行会魔导士使用了动作
Guild Mag used Maneuver,行会法师使用了动作
Wight used Maneuver,白骨鬼使用了动作
Feral Clone used Maneuver,野性克隆体使用了动作
Jester used Maneuver,小丑使用了动作
Reaver Brute used Maneuver,攫取野蛮人使用了动作
Reaver Scout used Maneuver,狩猎掠夺者使用了格斗技巧
Reaver used Maneuver,掠夺者使用了格斗技巧
Reaver Blackguard used Maneuver,黑卫掠夺者使用了格斗技巧
Reaver Mystic used Maneuver,神秘掠夺者使用了格斗技巧
Cultist used Maneuver,教派成员使用了格斗技巧
Bobbert the Recruit used Maneuver,招募兵鲍伯特使用了格斗技巧
Wreck Picker used Maneuver,毁坏拾荒者使用了格斗技巧
Oleg the Gray used Maneuver,灰色奥列格使用了格斗技巧
Red Kala used Maneuver,红色卡拉使用了格斗技巧
The Butcher used Maneuver,屠夫使用了格斗技巧
Snow used Maneuver,雪使用了格斗技巧
The Ancient King used Maneuver,古老国王使用了格斗技巧
Joran the Usurper used Maneuver,乔兰篡位者使用了格斗技巧
Baroness used Maneuver,伯爵夫人使用了格斗技巧
Handmaid used Maneuver,女仆使用了格斗技巧
Majordomo used Maneuver,家政主管使用了格斗技巧
#Combatant used Triggered Ability,#Combatant 触发了触发能力
{PLAYER} used Triggered Ability,__PLACEHOLDER_0__ 触发了触发能力
Kat used Triggered Ability,凯特使用了触发能力
Roland used Triggered Ability,罗兰使用了触发能力
Driina used Triggered Ability,Driina 使用了触发能力
Iben used Triggered Ability,Iben 使用了触发能力
Iago used Triggered Ability,Iago 使用了触发能力
Embla used Triggered Ability,Embla 使用了触发能力
Giant Bat used Triggered Ability,巨蝙蝠 使用了触发能力
Giant Beetle used Triggered Ability,巨甲虫 使用了触发能力
Rhino Beetle used Triggered Ability,犀金龟 使用了触发能力
Carrion Crawler used Triggered Ability,腐肉爬行者 使用了触发能力
Giant Centipede used Triggered Ability,巨蝎 使用了触发能力
Fell Crab used Triggered Ability,深渊螃蟹 使用了触发能力
Corpse Eater used Triggered Ability,尸体食者 使用了触发能力
Giant Crab used Triggered Ability,巨蟹 使用了触发能力
Crab used Triggered Ability,蟹 使用了触发能力
Rot Crab used Triggered Ability,腐烂螃蟹 使用了触发能力
Spider Crab used Triggered Ability,巨型蟹 使用了触发能力
Brood Guard used Triggered Ability,群落卫士 使用了触发能力
Father used Triggered Ability,父亲 使用了触发能力
Deep One Priestess used Triggered Ability,深海祭司 使用了触发能力
Deep One Queen used Triggered Ability,深海女王 使用了触发能力
Deep One Warrior used Triggered Ability,深海战士 使用了触发能力
Devolved used Triggered Ability,退化者触发了触发能力
Ghoul used Triggered Ability,地鬼触发了触发能力
Frost Ghoul used Triggered Ability,寒霜地鬼触发了触发能力
Giant Gnat used Triggered Ability,巨人蚊子触发了触发能力
Cave Gnat used Triggered Ability,山洞蚊子触发了触发能力
Fell Hog used Triggered Ability,深渊猪触发了触发能力
Dire Hound used Triggered Ability,Dire狼狗触发了触发能力
Fell Hound used Triggered Ability,深渊狼狗触发了触发能力
Ice Hound used Triggered Ability,寒霜狼狗触发了触发能力
Ice Strider used Triggered Ability,冰行者触发了触发能力
Shadow Stalker used Triggered Ability,影踪追踪者触发了触发能力
Giant Leech used Triggered Ability,巨人吸血藤触发了触发能力
Albino Leech used Triggered Ability,白化吸血藤触发了触发能力
Bloodletter used Triggered Ability,血书者触发了触发能力
Fell Lizard used Triggered Ability,深渊蜥蜴触发了触发能力
Alpha Lizard used Triggered Ability,雌雄同体蜥蜴触发了触发能力
Giant Lizard used Triggered Ability,巨人蜥蜴触发了触发能力
Ice Salamander used Triggered Ability,寒霜火蜥蜴触发了触发能力
Mold Child used Triggered Ability,藻人子婴触发了触发能力
Ooze used Triggered Ability,藻人触发了触发能力
Flesh Ooze used Triggered Ability,肉状物触发了能力
Medusa Jelly used Triggered Ability,石像地精触发了能力
Risen Ooze used Triggered Ability,复活的肉状物触发了能力
Magma Ooze used Triggered Ability,熔岩肉状物触发了能力
Magmite used Triggered Ability,火熔岩触发了能力
Large Ooze used Triggered Ability,大型肉状物触发了能力
Giant Rat used Triggered Ability,大鼠触发了能力
Dire Rat used Triggered Ability,Dire鼠触发了能力
Chitters-In-Darkness used Triggered Ability,黑暗之唧唧触发了能力
Rabid Rat used Triggered Ability,狂暴鼠触发了能力
Shade used Triggered Ability,阴影触发了能力
Dire Serpent used Triggered Ability,Dire蛇触发了能力
Fell Serpent used Triggered Ability,恶魔蛇触发了能力
Giant Snake used Triggered Ability,大蛇触发了能力
Fleshstrider used Triggered Ability,肉足行者触发了能力
Flying Polyp used Triggered Ability,飞行的多莉普触发了能力
Dragon's Herald used Triggered Ability,龙使者触发了能力
Evolved used Triggered Ability,升级触发了能力
Newborne used Triggered Ability,新生者触发了能力
Vessel used Triggered Ability,容器触发了能力
Stalker used Triggered Ability,侦查者触发了触发能力
Giant Spider used Triggered Ability,巨型蜘蛛触发了触发能力
Large Spider used Triggered Ability,大型蜘蛛触发了触发能力
Shambler used Triggered Ability,摇摇晃晃者触发了触发能力
Frost Shambler used Triggered Ability,寒霜摇摇晃晃者触发了触发能力
Reaver Berserker used Triggered Ability,奴役狂战士触发了触发能力
Brigand Archer used Triggered Ability,海盗弓手触发了触发能力
Brigand Rogue used Triggered Ability,海盗盗贼触发了触发能力
Brigand Swordsman used Triggered Ability,海盗剑士触发了触发能力
Mad Sailor used Triggered Ability,疯狂水手触发了触发能力
Mad Sailo used Triggered Ability,疯狂水手触发了触发能力
Guild Magos used Triggered Ability,行会魔导士触发了触发能力
Guild Mag used Triggered Ability,行会魔导士触发了触发能力
Wight used Triggered Ability,僵尸领主触发了触发能力
Feral Clone used Triggered Ability,野性克隆体触发了触发能力
Jester used Triggered Ability,小丑触发了触发能力
Reaver Brute used Triggered Ability,奴役粗暴者触发了触发能力
Reaver Scout used Triggered Ability,奴役斥候触发了触发能力
Reaver used Triggered Ability,奴役者触发了触发能力
Reaver Blackguard used Triggered Ability,奴役黑卫士触发了触发能力
Reaver Mystic used Triggered Ability,残暴秘法师触发了能力
Cultist used Triggered Ability,教派成员触发了能力
Bobbert the Recruit used Triggered Ability,招募兵鲍伯特触发了能力
Wreck Picker used Triggered Ability,破坏拾荒者触发了能力
Oleg the Gray used Triggered Ability,灰色奥列格触发了能力
Red Kala used Triggered Ability,红色卡拉触发了能力
The Butcher used Triggered Ability,屠夫触发了能力
Snow used Triggered Ability,雪触发了能力
The Ancient King used Triggered Ability,古老国王触发了能力
Joran the Usurper used Triggered Ability,乔兰篡位者触发了能力
Baroness used Triggered Ability,伯爵夫人触发了能力
Handmaid used Triggered Ability,女仆触发了能力
#Combatant used Spell,战斗者施放了法术
{PLAYER} used Spell,__PLACEHOLDER_0__施放了法术
Kat used Spell,卡特施放了法术
Roland used Spell,罗兰施放了法术
Driina used Spell,德里娜施放了法术
Iben used Spell,伊本施放了法术
Iago used Spell,伊戈施放了法术
Embla used Spell,伊姆拉施放了法术
Giant Bat used Spell,巨蝙蝠使用了法术
Giant Beetle used Spell,巨型甲虫使用了法术
Rhino Beetle used Spell,巨型角甲虫使用了法术
Carrion Crawler used Spell,腐肉爬行者使用了法术
Giant Centipede used Spell,巨型蜈蚣使用了法术
Fell Crab used Spell,跌落螃蟹使用了法术
Corpse Eater used Spell,尸体吞噬者使用了法术
Giant Crab used Spell,巨型螃蟹使用了法术
Crab used Spell,螃蟹使用了法术
Rot Crab used Spell,腐烂螃蟹使用了法术
Spider Crab used Spell,巨型石蟹使用了法术
Brood Guard used Spell,群落卫士使用了法术
Father used Spell,父亲使用了法术
Deep One Priestess used Spell,深海祭司使用了法术
Deep One Queen used Spell,深海女王使用了法术
Deep One Warrior used Spell,深海战士使用了法术
Devolved used Spell,退化者使用了法术
Ghoul used Spell,脚尸使用了法术
Frost Ghoul used Spell,寒霜脚尸使用了法术
Giant Gnat used Spell,巨型蚋使用了法术
Cave Gnat used Spell,洞穴蚊虫施放了法术
Fell Hog used Spell,深渊野猪施放了法术
Dire Hound used Spell,亡灵猎犬施放了法术
Fell Hound used Spell,深渊犬施放了法术
Ice Hound used Spell,冰霜猎犬施放了法术
Ice Strider used Spell,冰霜行者施放了法术
Shadow Stalker used Spell,阴影追踪者施放了法术
Giant Leech used Spell,巨型吸血蚂蟥施放了法术
Albino Leech used Spell,白化吸血蚂蟥施放了法术
Bloodletter used Spell,吸血鬼施放了法术
Fell Lizard used Spell,深渊蜥蜴施放了法术
Alpha Lizard used Spell,雅法拉蜥蜴施放了法术
Giant Lizard used Spell,巨型蜥蜴施放了法术
Ice Salamander used Spell,冰霜蜥蜴施放了法术
Mold Child used Spell,藻人施放了法术
Ooze used Spell,浑浊物施放了法术
Flesh Ooze used Spell,石化触手施放了法术
Medusa Jelly used Spell,石化凝胶施放了法术
Risen Ooze used Spell,复生浑浊物施放了法术
Magma Ooze used Spell,熔岩浑浊物施放了法术
Magmite used Spell,火山民施放了法术
Large Ooze used Spell,大黏液怪施放了法术
Giant Rat used Spell,巨鼠施放了法术
Dire Rat used Spell,Dire Rat施放了法术
Chitters-In-Darkness used Spell,Chitters-In-Darkness施放了法术
Rabid Rat used Spell,疯狂鼠施放了法术
Shade used Spell,阴影施放了法术
Dire Serpent used Spell,Dire Serpent施放了法术
Fell Serpent used Spell,Fell Serpent施放了法术
Giant Snake used Spell,巨型蛇施放了法术
Fleshstrider used Spell,肉行者施放了法术
Flying Polyp used Spell,飞行的多胞体施放了法术
Dragon's Herald used Spell,龙的使者施放了法术
Evolved used Spell,进化了施放了法术
Newborne used Spell,新生者施放了法术
Vessel used Spell,载体施放了法术
Stalker used Spell,跟踪者施放了法术
Giant Spider used Spell,巨型蜘蛛施放了法术
Large Spider used Spell,大型蜘蛛施放了法术
Shambler used Spell,摇摇晃晃者施放了法术
Frost Shambler used Spell,冰行者使用了法术
Reaver Berserker used Spell,破坏狂 Berserker 使用了法术
Brigand Archer used Spell,地盗弓手使用了法术
Brigand Rogue used Spell,地盗盗贼使用了法术
Brigand Swordsman used Spell,地盗剑士使用了法术
Mad Sailor used Spell,疯狂水手使用了法术
Mad Sailo used Spell,疯狂水手使用了法术
Guild Magos used Spell,行会魔导士使用了法术
Guild Mag used Spell,行会法师使用了法术
Wight used Spell,魈使用了法术
Feral Clone used Spell,猛兽克隆体使用了法术
Jester used Spell,小丑使用了法术
Reaver Brute used Spell,破坏狂野蛮人使用了法术
Reaver Scout used Spell,破坏狂斥候使用了法术
Reaver used Spell,破坏狂使用了法术
Reaver Blackguard used Spell,破坏狂黑卫士使用了法术
Reaver Mystic used Spell,破坏狂灵能者使用了法术
Cultist used Spell,教派成员使用了法术
Bobbert the Recruit used Spell,招募兵鲍勃伯特使用了法术
Wreck Picker used Spell,残骸拾荒者使用了法术
Oleg the Gray used Spell,奥列格·灰影施放了法术
Red Kala used Spell,红卡拉施放了法术
The Butcher used Spell,屠夫施放了法术
Snow used Spell,雪施放了法术
The Ancient King used Spell,古老的国王施放了法术
Joran the Usurper used Spell,约ran篡位者施放了法术
Baroness used Spell,邦夫人施放了法术
Handmaid used Spell,女仆施放了法术
Majordomo used Spell,总管施放了法术
Majordomo used Triggered Ability,总管触发了能力
#Combatant immune to the condition,#Combatant免疫此状态
{PLAYER} immune to the condition,__PLACEHOLDER_0__免疫此状态
Kat immune to the condition,卡特免疫此状态
Roland immune to the condition,罗兰免疫此状态
Driina immune to the condition,德里娜免疫此状态
Iben immune to the condition,伊本免疫此状态
Iago immune to the condition,伊格免疫此状态
Embla immune to the condition,伊姆拉免疫此状态
Giant Bat immune to the condition,巨型蝙蝠免疫此状态
Giant Beetle immune to the condition,巨型甲虫免疫此状态
Rhino Beetle immune to the condition,犀牛甲虫对该状态免疫
Carrion Crawler immune to the condition,腐肉爬行者对该状态免疫
Giant Centipede immune to the condition,巨型蜈蚣对该状态免疫
Fell Crab immune to the condition,深渊螃蟹对该状态免疫
Corpse Eater immune to the condition,尸体吞噬者对该状态免疫
Giant Crab immune to the condition,巨型螃蟹对该状态免疫
Crab immune to the condition,螃蟹对该状态免疫
Rot Crab immune to the condition,腐烂螃蟹对该状态免疫
Spider Crab immune to the condition,石蟹对该状态免疫
Brood Guard immune to the condition,群落卫士对该状态免疫
Father immune to the condition,父亲对该状态免疫
Deep One Priestess immune to the condition,深海祭司对该状态免疫
Deep One Queen immune to the condition,深海女王对该状态免疫
Deep One Warrior immune to the condition,深海战士对该状态免疫
Devolved immune to the condition,退化者对该状态免疫
Ghoul immune to the condition,尸鬼对该状态免疫
Frost Ghoul immune to the condition,寒冰尸鬼对该状态免疫
Giant Gnat immune to the condition,巨型蚊子对该状态免疫
Cave Gnat immune to the condition,山洞蚊子对该状态免疫
Fell Hog immune to the condition,深渊野猪对该状态免疫
Dire Hound immune to the condition,威猛猎犬免疫此状态
Fell Hound immune to the condition,凶猛猎犬免疫此状态
Ice Hound immune to the condition,冰霜猎犬免疫此状态
Ice Strider immune to the condition,冰霜行者免疫此状态
Shadow Stalker immune to the condition,阴影追踪者免疫此状态
Giant Leech immune to the condition,巨型血吸虫免疫此状态
Albino Leech immune to the condition,白化血吸虫免疫此状态
Bloodletter immune to the condition,血泵免疫此状态
Fell Lizard immune to the condition,凶猛蜥蜴免疫此状态
Alpha Lizard immune to the condition,雌雄同体蜥蜴免疫此状态
Giant Lizard immune to the condition,巨型蜥蜴免疫此状态
Ice Salamander immune to the condition,冰霜火蜥蜴免疫此状态
Mold Child immune to the condition,藻人免疫此状态
Ooze immune to the condition,浑浊物免疫此状态
Flesh Ooze immune to the condition,肉状浑浊物免疫此状态
Medusa Jelly immune to the condition,墨鱼果冻免疫此状态
Risen Ooze immune to the condition,复活浑浊物免疫此状态
Magma Ooze immune to the condition,熔岩浑浊物免疫此状态
Magmite immune to the condition,熔岩物免疫此状态
Large Ooze immune to the condition,大型浑浊物免疫此状态
Giant Rat immune to the condition,巨鼠对该状态免疫
Dire Rat immune to the condition,巨型鼠对该状态免疫
Chitters-In-Darkness immune to the condition,黑暗呢喃对该状态免疫
Rabid Rat immune to the condition,狂暴鼠对该状态免疫
Shade immune to the condition,阴影对该状态免疫
Dire Serpent immune to the condition,巨型毒蛇对该状态免疫
Fell Serpent immune to the condition,残酷毒蛇对该状态免疫
Giant Snake immune to the condition,巨型蟒蛇对该状态免疫
Fleshstrider immune to the condition,肉行者对该状态免疫
Flying Polyp immune to the condition,飞行的多足生物对该状态免疫
Dragon's Herald immune to the condition,龙的使者对该状态免疫
Evolved immune to the condition,进化生物对该状态免疫
Newborne immune to the condition,新生生物对该状态免疫
Vessel immune to the condition,容器对该状态免疫
Stalker immune to the condition,跟踪者对该状态免疫
Giant Spider immune to the condition,巨型蜘蛛对该状态免疫
Large Spider immune to the condition,大型蜘蛛对该状态免疫
Shambler immune to the condition,摇摇晃晃者对该状态免疫
Frost Shambler immune to the condition,寒冰摇摇晃晃者对该状态免疫
Reaver Berserker immune to the condition,攫取狂战士对该状态免疫
Brigand Archer immune to the condition,强盗弓箭手免疫此状态
Brigand Rogue immune to the condition,强盗盗贼免疫此状态
Brigand Swordsman immune to the condition,强盗剑士免疫此状态
Mad Sailor immune to the condition,疯狂水手免疫此状态
Mad Sailo immune to the condition,疯狂水手免疫此状态
Guild Magos immune to the condition,行会魔导士免疫此状态
Guild Mag immune to the condition,行会法师免疫此状态
Wight immune to the condition,鬼影免疫此状态
Feral Clone immune to the condition,野性克隆体免疫此状态
Jester immune to the condition,小丑免疫此状态
Reaver Brute immune to the condition,拆船壮汉免疫此状态
Reaver Scout immune to the condition,拆船斥候免疫此状态
Reaver immune to the condition,拆船者免疫此状态
Reaver Blackguard immune to the condition,拆船者恶僧免疫此状态
Reaver Mystic immune to the condition,拆船者巫师免疫此状态
Cultist immune to the condition,教派信徒免疫此状态
Bobbert the Recruit immune to the condition,招募兵鲍伯特免疫此状态
Wreck Picker immune to the condition,拆船拾荒者免疫此状态
Oleg the Gray immune to the condition,格雷奥列格免疫此状态
Red Kala immune to the condition,红卡拉免疫此状态
The Butcher immune to the condition,屠夫免疫于该状态
Snow immune to the condition,雪免疫于该状态
The Ancient King immune to the condition,古老国王免疫于该状态
Joran the Usurper immune to the condition,掠夺者乔兰免疫于该状态
Baroness immune to the condition,邦女公爵免疫于该状态
Handmaid immune to the condition,女侍女免疫于该状态
Majordomo immune to the condition,家臣免疫于该状态
#Combatant immune to,#战斗者免疫于
{PLAYER} immune to,__PLACEHOLDER_0__免疫于
Kat immune to,卡特免疫于
Roland immune to,罗兰免疫于
Driina immune to,德里娜免疫于
Iben immune to,伊本免疫于
Iago immune to,伊戈免疫于
Embla immune to,伊姆拉免疫于
Giant Bat immune to,巨蝙蝠免疫于
Giant Beetle immune to,巨型甲虫免疫于
Rhino Beetle immune to,犀牛甲虫免疫于
Carrion Crawler immune to,腐肉爬行者免疫于
Giant Centipede immune to,巨型百足虫免疫于
Fell Crab immune to,巨蟹免疫于
Corpse Eater immune to,尸体吞噬者免疫于
Giant Crab immune to,巨型螃蟹免疫于
Crab immune to,螃蟹免疫于
Rot Crab immune to,腐烂螃蟹免疫于
Spider Crab immune to,巨型蜘蛛蟹免疫于
Brood Guard immune to,群落卫士免疫于
Father immune to,父亲免疫于
Deep One Priestess immune to,深海祭司免疫于
Deep One Queen immune to,深海女王免疫于
Deep One Warrior immune to,深海战士免疫于
Devolved immune to,退化者免疫于
Ghoul immune to,僵尸狼免疫于
Frost Ghoul immune to,寒霜僵尸狼免疫于
Giant Gnat immune to,巨型蚊子免疫于
Cave Gnat immune to,山洞蚊子免疫于
Fell Hog immune to,巨型野猪免疫于
Dire Hound immune to,残暴猎犬免疫于
Fell Hound immune to,巨型猎犬免疫于
Ice Hound immune to,冰霜猎犬免疫于
Ice Strider immune to,冰行者免疫于
Shadow Stalker immune to,阴影追踪者免疫于
Giant Leech immune to,巨型吸血虫免疫于
Albino Leech immune to,白化吸血虫免疫于
Bloodletter immune to,血书者免疫于
Fell Lizard immune to,恶灵蜥蜴免疫于
Alpha Lizard immune to,雅法蜥蜴免疫于
Giant Lizard immune to,巨型蜥蜴免疫于
Ice Salamander immune to,冰龙蜥免疫于
Mold Child immune to,藻人免疫于
Ooze immune to,藻类生物免疫于
Flesh Ooze immune to,肉质藻类生物免疫于
Medusa Jelly immune to,墨鱼果冻生物免疫于
Risen Ooze immune to,复苏藻类生物免疫于
Magma Ooze immune to,熔岩藻类生物免疫于
Magmite immune to,火石免疫于
Large Ooze immune to,大型藻类生物免疫于
Giant Rat immune to,巨型老鼠免疫于
Dire Rat immune to,恶魔老鼠免疫于
Chitters-In-Darkness immune to,黑暗中的吱吱声免疫于
Rabid Rat immune to,狂暴的rats免疫于
Shade immune to,阴影免疫于
Dire Serpent immune to,残酷的毒蛇免疫于
Fell Serpent immune to,强烈的毒蛇免疫于
Giant Snake immune to,巨型毒蛇免疫于
Fleshstrider immune to,肉行者免疫于
