original,translate
Fine Breastplate of Speed,精致的速度胸甲
Fine Breastplate of Stealth,精致的潜行胸甲
Fine Breastplate of Survival,精致的生存胸甲
Fine Breastplate of Thievery,精致的偷盗胸甲
Fine Breastplate of Toughness,精致的坚韧胸甲
Fine Breastplate of Willpower,精致的意志胸甲
Fine Chainmail of Athletics,精致的连锁甲胄（运动）
Fine Chainmail of Awareness,精致的连锁甲胄（警觉）
Fine Chainmail of Crafting,精致的连锁甲胄（制作）
Fine Chainmail of Defence,精致的连锁甲胄（防御）
Fine Chainmail of Diplomacy,精致的连锁甲胄（外交）
Fine Chainmail of Healing,精致的连锁甲胄（治疗）
Fine Chainmail of Celerity,精致迅捷环甲
Fine Chainmail of Lore,精致博学环甲
Fine Chainmail of Speed,精致敏捷环甲
Fine Chainmail of Stealth,精致潜行环甲
Fine Chainmail of Survival,精致生存环甲
Fine Chainmail of Thievery,精致偷盗环甲
Fine Chainmail of Toughness,精致坚韧环甲
Fine Chainmail of Willpower,精致意志环甲
Fine Fullplate of Athletics,精致体能全甲
Fine Fullplate of Awareness,精致感知全甲
Fine Fullplate of Crafting,精致工艺全甲
Fine Fullplate of Defence,精致防御全甲
Fine Fullplate of Diplomacy,精致外交全甲
Fine Fullplate of Healing,精致治疗全甲
Fine Fullplate of Celerity,精致迅捷全甲
Fine Fullplate of Lore,精致博学全甲
Fine Fullplate of Speed,精致敏捷全甲
Fine Fullplate of Stealth,精致潜行全甲
Fine Fullplate of Survival,精致生存全甲
Fine Fullplate of Thievery,精致偷盗全甲
Fine Fullplate of Toughness,精致坚甲
Fine Fullplate of Willpower,精致意志坚甲
Fine Leather Armor of Athletics,精致皮甲（体能）
Fine Leather Armor of Awareness,精致皮甲（洞察）
Fine Leather Armor of Crafting,精致皮甲（制作物品）
Fine Leather Armor of Defence,精致皮甲（防御）
Fine Leather Armor of Diplomacy,精致皮甲（外交）
Fine Leather Armor of Healing,精致皮甲（治疗）
Fine Leather Armor of Celerity,精致皮甲（敏捷）
Fine Leather Armor of Lore,精致皮甲（知识）
Fine Leather Armor of Speed,精致皮甲（速度）
Fine Leather Armor of Stealth,精致皮甲（潜行）
Fine Leather Armor of Survival,精致皮甲（生存）
Fine Leather Armor of Thievery,精致皮甲（偷盗）
Fine Leather Armor of Toughness,精致皮甲（坚甲）
Fine Leather Armor of Willpower,精致皮甲（意志）
Fine Padded Armor of Athletics,精致填充皮甲（体能）
Fine Padded Armor of Awareness,精致填充皮甲（洞察）
Fine Padded Armor of Crafting,精致填充皮甲（制作物品）
Fine Padded Armor of Defence,精致填充皮甲（防御）
Fine Padded Armor of Diplomacy,细布防具·外交
Fine Padded Armor of Healing,细布防具·疗愈
Fine Padded Armor of Celerity,细布防具·敏捷
Fine Padded Armor of Lore,细布防具·博学
Fine Padded Armor of Speed,细布防具·速度
Fine Padded Armor of Stealth,细布防具·潜行
Fine Padded Armor of Survival,细布防具·生存
Fine Padded Armor of Thievery,细布防具·盗贼
Fine Padded Armor of Toughness,细布防具·坚韧
Fine Padded Armor of Willpower,细布防具·意志
Fine Scalemail of Athletics,细鳞甲·体能
Fine Scalemail of Awareness,细鳞甲·意识
Fine Scalemail of Crafting,细鳞甲·工艺
Fine Scalemail of Defence,细鳞甲·防御
Fine Scalemail of Diplomacy,细鳞甲·外交
Fine Scalemail of Healing,细鳞甲·疗愈
Fine Scalemail of Celerity,细鳞甲·敏捷
Fine Scalemail of Lore,细鳞甲·博学
Fine Scalemail of Speed,细鳞甲·速度
Fine Scalemail of Stealth,细鳞甲·潜行
Fine Scalemail of Survival,精细鳞甲·生存
Fine Scalemail of Thievery,精细鳞甲·盗贼
Fine Scalemail of Toughness,精细鳞甲·坚韧
Fine Scalemail of Willpower,精细鳞甲·意志力
Fine Studded Leather of Agility,精细环甲·敏捷
Fine Studded Leather of Athletics,精细环甲·体能
Fine Studded Leather of Awareness,精细环甲·感知
Fine Studded Leather of Crafting,精细环甲·制作工艺
Fine Studded Leather of Defence,精细环甲·防御
Fine Studded Leather of Diplomacy,精细环甲·外交
Fine Studded Leather of Healing,精细环甲·治疗
Fine Studded Leather of Celerity,精细环甲·敏捷
Fine Studded Leather of Lore,精细环甲·知识
Fine Studded Leather of Speed,精细环甲·速度
Fine Studded Leather of Stealth,精细环甲·潜行
Fine Studded Leather of Survival,精细环甲·生存
Fine Studded Leather of Thievery,精细环甲·盗贼
Fine Studded Leather of Toughness,精细环甲·坚韧
Fine Studded Leather of Willpower,精细环甲·意志力
Fine Halfplate of Athletics,精细半板甲·体能
Fine Halfplate of Awareness,精细防意识半板甲
Fine Halfplate of Crafting,精细防工艺半板甲
Fine Halfplate of Defence,精细防防御半板甲
Fine Halfplate of Diplomacy,精细防外交半板甲
Fine Halfplate of Healing,精细防治疗半板甲
Fine Halfplate of Celerity,精细防敏捷半板甲
Fine Halfplate of Lore,精细防知识半板甲
Fine Halfplate of Speed,精细防速度半板甲
Fine Halfplate of Stealth,精细防潜行半板甲
Fine Halfplate of Survival,精细防生存半板甲
Fine Halfplate of Thievery,精细防偷盗半板甲
Fine Halfplate of Toughness,精细防坚韧半板甲
Fine Halfplate of Willpower,精细防意志半板甲
Masterwork Breastplate of Agility,精工敏捷胸甲
Masterwork Breastplate of Athletics,精工体能胸甲
Masterwork Breastplate of Awareness,精工防意识胸甲
Masterwork Breastplate of Crafting,精工防工艺胸甲
Masterwork Breastplate of Defence,精工防防御胸甲
Masterwork Breastplate of Diplomacy,精工防外交胸甲
Masterwork Breastplate of Fortitude,精工防坚韧胸甲
Masterwork Breastplate of Healing,疗愈精工胸甲
Masterwork Breastplate of Celerity,敏捷精工胸甲
Masterwork Breastplate of Intellect,智力精工胸甲
Masterwork Breastplate of Lore,学识精工胸甲
Masterwork Breastplate of Presence,威严精工胸甲
Masterwork Breastplate of Speed,速度精工胸甲
Masterwork Breastplate of Stealth,潜行精工胸甲
Masterwork Breastplate of Strength,力量精工胸甲
Masterwork Breastplate of Survival,生存精工胸甲
Masterwork Breastplate of Thievery,盗贼精工胸甲
Masterwork Breastplate of Toughness,坚韧精工胸甲
Masterwork Breastplate of Willpower,意志力精工胸甲
Masterwork Chainmail of Agility,敏捷精工锁链甲
Masterwork Chainmail of Athletics,运动精工锁链甲
Masterwork Chainmail of Awareness,觉醒精工锁链甲
Masterwork Chainmail of Crafting,制作精工锁链甲
Masterwork Chainmail of Defence,防御精工锁链甲
Masterwork Chainmail of Diplomacy,交际精工锁链甲
Masterwork Chainmail of Fortitude,坚韧精工锁链甲
Masterwork Chainmail of Healing,疗愈精工锁链甲
Masterwork Chainmail of Celerity,精工迅捷环甲
Masterwork Chainmail of Intellect,精工智慧环甲
Masterwork Chainmail of Lore,精工博学环甲
Masterwork Chainmail of Presence,精工威严环甲
Masterwork Chainmail of Speed,精工迅捷环甲
Masterwork Chainmail of Stealth,精工潜行环甲
Masterwork Chainmail of Strength,精工强健环甲
Masterwork Chainmail of Survival,精工生存环甲
Masterwork Chainmail of Thievery,精工窃盗环甲
Masterwork Chainmail of Toughness,精工坚韧环甲
Masterwork Chainmail of Willpower,精工意志环甲
Masterwork Fullplate of Agility,精工敏捷全甲
Masterwork Fullplate of Athletics,精工体能全甲
Masterwork Fullplate of Awareness,精工感知全甲
Masterwork Fullplate of Crafting,精工制作全甲
Masterwork Fullplate of Defence,精工防御全甲
Masterwork Fullplate of Diplomacy,精工外交全甲
Masterwork Fullplate of Fortitude,精工坚毅全甲
Masterwork Fullplate of Healing,精工疗愈全甲
Masterwork Fullplate of Celerity,精工迅捷全甲
Masterwork Fullplate of Intellect,智慧精工全甲
Masterwork Fullplate of Lore,知识精工全甲
Masterwork Fullplate of Presence,威严精工全甲
Masterwork Fullplate of Speed,速度精工全甲
Masterwork Fullplate of Stealth,潜行精工全甲
Masterwork Fullplate of Strength,力量精工全甲
Masterwork Fullplate of Survival,生存精工全甲
Masterwork Fullplate of Thievery,盗贼精工全甲
Masterwork Fullplate of Toughness,坚韧精工全甲
Masterwork Fullplate of Willpower,意志力精工全甲
Masterwork Halfplate of Agility,敏捷半甲
Masterwork Halfplate of Athletics,运动半甲
Masterwork Halfplate of Awareness,觉醒半甲
Masterwork Halfplate of Crafting,制作半甲
Masterwork Halfplate of Defence,防御半甲
Masterwork Halfplate of Diplomacy,交际半甲
Masterwork Halfplate of Fortitude,坚韧半甲
Masterwork Halfplate of Healing,治疗半甲
Masterwork Halfplate of Celerity,速捷半甲
Masterwork Halfplate of Intellect,智慧半甲
Masterwork Halfplate of Lore,背景知识精工半板甲
Masterwork Halfplate of Presence,彰显精工半板甲
Masterwork Halfplate of Speed,速度精工半板甲
Masterwork Halfplate of Stealth,潜行精工半板甲
Masterwork Halfplate of Strength,力量精工半板甲
Masterwork Halfplate of Survival,生存精工半板甲
Masterwork Halfplate of Thievery,盗贼精工半板甲
Masterwork Halfplate of Toughness,坚韧精工半板甲
Masterwork Halfplate of Willpower,意志力精工半板甲
Masterwork Leather Armor of Agility,敏捷精工皮甲
Masterwork Leather Armor of Athletics,运动精工皮甲
Masterwork Leather Armor of Awareness,觉知精工皮甲
Masterwork Leather Armor of Crafting,制作精工皮甲
Masterwork Leather Armor of Defence,防御精工皮甲
Masterwork Leather Armor of Diplomacy,辩论精工皮甲
Masterwork Leather Armor of Fortitude,坚韧精工皮甲
Masterwork Leather Armor of Healing,治疗精工皮甲
Masterwork Leather Armor of Celerity,速捷精工皮甲
Masterwork Leather Armor of Intellect,知识精工皮甲
Masterwork Leather Armor of Lore,背景知识精工皮甲
Masterwork Leather Armor of Presence,精工皮甲·存在
Masterwork Leather Armor of Speed,精工皮甲·速度
Masterwork Leather Armor of Stealth,精工皮甲·潜行
Masterwork Leather Armor of Strength,精工皮甲·力量
Masterwork Leather Armor of Survival,精工皮甲·生存
Masterwork Leather Armor of Thievery,精工皮甲·偷盗
Masterwork Leather Armor of Toughness,精工皮甲·坚韧
Masterwork Leather Armor of Willpower,精工皮甲·意志
Masterwork Padded Armor of Agility,精工棉甲·敏捷
Masterwork Padded Armor of Athletics,精工棉甲·体能
Masterwork Padded Armor of Awareness,精工棉甲·感知
Masterwork Padded Armor of Crafting,精工棉甲·工艺
Masterwork Padded Armor of Defence,精工棉甲·防御
Masterwork Padded Armor of Diplomacy,精工棉甲·外交
Masterwork Padded Armor of Fortitude,精工棉甲·坚毅
Masterwork Padded Armor of Healing,精工棉甲·治疗
Masterwork Padded Armor of Celerity,精工棉甲·迅捷
Masterwork Padded Armor of Intellect,精工棉甲·智力
Masterwork Padded Armor of Lore,精工棉甲·知识
Masterwork Padded Armor of Presence,精工棉甲·存在
Masterwork Padded Armor of Speed,精工填充式迅捷盔甲
Masterwork Padded Armor of Stealth,精工填充式潜行盔甲
Masterwork Padded Armor of Strength,精工填充式力量盔甲
Masterwork Padded Armor of Survival,精工填充式生存盔甲
Masterwork Padded Armor of Thievery,精工填充式窃盗盔甲
Masterwork Padded Armor of Toughness,精工填充式坚韧盔甲
Masterwork Padded Armor of Willpower,精工填充式意志盔甲
Masterwork Scalemail of Agility,精工鳞甲敏捷
Masterwork Scalemail of Athletics,精工鳞甲体能
Masterwork Scalemail of Awareness,精工鳞甲警觉
Masterwork Scalemail of Crafting,精工鳞甲工艺
Masterwork Scalemail of Defence,精工鳞甲防御
Masterwork Scalemail of Diplomacy,精工鳞甲外交
Masterwork Scalemail of Fortitude,精工鳞甲坚毅
Masterwork Scalemail of Healing,精工鳞甲治疗
Masterwork Scalemail of Celerity,精工鳞甲迅捷
Masterwork Scalemail of Intellect,精工鳞甲智力
Masterwork Scalemail of Lore,精工鳞甲知识
Masterwork Scalemail of Presence,精工鳞甲气场
Masterwork Scalemail of Speed,精工鳞甲迅捷
Masterwork Scalemail of Stealth,精工隐匿锁甲
Masterwork Scalemail of Strength,精工强健锁甲
Masterwork Scalemail of Survival,精工生存锁甲
Masterwork Scalemail of Thievery,精工偷盗锁甲
Masterwork Scalemail of Toughness,精工坚韧锁甲
Masterwork Scalemail of Willpower,精工意志锁甲
Masterwork Studded Leather of Agility,精工钉鳞皮敏捷
Masterwork Studded Leather of Athletics,精工钉鳞皮力量
Masterwork Studded Leather of Awareness,精工钉鳞皮警觉
Masterwork Studded Leather of Crafting,精工钉鳞皮制作
Masterwork Studded Leather of Defence,精工钉鳞皮防御
Masterwork Studded Leather of Diplomacy,精工钉鳞皮外交
Masterwork Studded Leather of Fortitude,精工钉鳞皮耐力
Masterwork Studded Leather of Healing,精工钉鳞皮治疗
Masterwork Studded Leather of Celerity,精工钉鳞皮迅捷
Masterwork Studded Leather of Intellect,精工钉鳞皮智力
Masterwork Studded Leather of Lore,精工钉鳞皮学识
Masterwork Studded Leather of Presence,精工钉鳞皮魅力
Masterwork Studded Leather of Speed,精工钉鳞皮速度
Masterwork Studded Leather of Stealth,精工钉鳞皮隐匿
Masterwork Studded Leather of Strength,精工镶嵌皮甲（力量）
Masterwork Studded Leather of Survival,精工镶嵌皮甲（生存）
Masterwork Studded Leather of Thievery,精工镶嵌皮甲（盗贼）
Masterwork Studded Leather of Toughness,精工镶嵌皮甲（坚韧）
Masterwork Studded Leather of Willpower,精工镶嵌皮甲（意志）
The Rat Queen's Armor of Strength,鼠后之甲（力量）
Buckler of Athletics,运动盾牌
Buckler of Awareness,觉知盾牌
Buckler of Crafting,制作盾牌
Buckler of Defence,防御盾牌
Buckler of Diplomacy,交际盾牌
Buckler of Healing,治疗盾牌
Buckler of Celerity,敏捷盾牌
Buckler of Lore,知识盾牌
Buckler of Speed,速度盾牌
Buckler of Stealth,暗影盾牌
Buckler of Survival,生存盾牌
Buckler of Thievery,盗贼盾牌
Buckler of Toughness,坚韧盾牌
Buckler of Willpower,意志盾牌
Large Shield of Athletics,大力士大型盾牌
Large Shield of Awareness,觉知大型盾牌
Large Shield of Crafting,制作大型盾牌
Large Shield of Defence,防御大型盾牌
Large Shield of Diplomacy,辩论大型盾牌
Large Shield of Healing,治疗大型盾牌
Large Shield of Celerity,敏捷大型盾牌
Large Shield of Lore,知识大型盾牌
Large Shield of Speed,速度大型盾牌
Large Shield of Stealth,潜行大型盾牌
Large Shield of Survival,生存大型盾牌
Large Shield of Thievery,盗窃大型盾牌
Large Shield of Toughness,坚韧大型盾牌
Large Shield of Willpower,意志力大型盾牌
Round Shield of Athletics,圆形盾牌，力量专精
Round Shield of Awareness,圆形盾牌，觉知专精
Round Shield of Crafting,圆形盾牌，制作专精
Round Shield of Defence,圆形盾牌，防御专精
Round Shield of Diplomacy,圆形盾牌，外交专精
Round Shield of Healing,圆形盾牌，治疗专精
Round Shield of Celerity,迅捷圆盾
Round Shield of Lore,博学圆盾
Round Shield of Speed,速度圆盾
Round Shield of Stealth,暗影圆盾
Round Shield of Survival,生存圆盾
Round Shield of Thievery,盗贼圆盾
Round Shield of Toughness,坚韧圆盾
Round Shield of Willpower,意志圆盾
Shield of Athletics,运动圆盾
Shield of Awareness,觉醒圆盾
Shield of Crafting,制作圆盾
Shield of Defence,防御圆盾
Shield of Diplomacy,交际圆盾
Shield of Healing,治疗圆盾
Shield of Celerity,迅捷圆盾
Shield of Lore,博学圆盾
Shield of Speed,速度圆盾
Shield of Stealth,暗影圆盾
Shield of Survival,生存圆盾
Shield of Thievery,盗贼圆盾
Shield of Toughness,坚韧盾牌
Shield of Willpower,意志盾牌
Tower Shield of Athletics,力量塔盾
Tower Shield of Awareness,觉悟塔盾
Tower Shield of Crafting,工匠塔盾
Tower Shield of Defence,防御塔盾
Tower Shield of Diplomacy,交际塔盾
Tower Shield of Healing,治疗塔盾
Tower Shield of Celerity,敏捷塔盾
Tower Shield of Lore,知识塔盾
Tower Shield of Speed,速度塔盾
Tower Shield of Stealth,暗影塔盾
Tower Shield of Survival,生存塔盾
Tower Shield of Thievery,盗窃塔盾
Tower Shield of Toughness,坚韧塔盾
Tower Shield of Willpower,意志塔盾
Masterwork Armored Boots of Agility,灵巧护甲靴
Masterwork Armored Boots of Athletics,力量护甲靴
Masterwork Armored Boots of Awareness,觉悟护甲靴
Masterwork Armored Boots of Crafting,工匠护甲靴
Masterwork Armored Boots of Defence,精工护甲靴（防御）
Masterwork Armored Boots of Diplomacy,精工护甲靴（外交）
Masterwork Armored Boots of Fortitude,精工护甲靴（坚毅）
Masterwork Armored Boots of Healing,精工护甲靴（治疗）
Masterwork Armored Boots of Celerity,精工护甲靴（敏捷）
Masterwork Armored Boots of Intellect,精工护甲靴（智力）
Masterwork Armored Boots of Lore,精工护甲靴（知识）
Masterwork Armored Boots of Presence,精工护甲靴（威望）
Masterwork Armored Boots of Speed,精工护甲靴（速度）
Masterwork Armored Boots of Stealth,精工护甲靴（潜行）
Masterwork Armored Boots of Strength,精工护甲靴（力量）
Masterwork Armored Boots of Survival,精工护甲靴（生存）
Masterwork Armored Boots of Thievery,精工护甲靴（偷盗）
Masterwork Armored Boots of Toughness,精工护甲靴（坚韧）
Masterwork Armored Boots of Willpower,精工护甲靴（意志）
Masterwork Leather Boots of Agility,精工皮靴（敏捷）
Masterwork Leather Boots of Athletics,精工皮靴（体能）
Masterwork Leather Boots of Awareness,精工皮靴（感知）
Masterwork Leather Boots of Crafting,精工皮靴（制作）
Masterwork Leather Boots of Defence,精工皮靴（防御）
Masterwork Leather Boots of Diplomacy,精工皮靴·外交
Masterwork Leather Boots of Fortitude,精工皮靴·坚毅
Masterwork Leather Boots of Healing,精工皮靴·治疗
Masterwork Leather Boots of Celerity,精工皮靴·敏捷
Masterwork Leather Boots of Intellect,精工皮靴·智力
Masterwork Leather Boots of Lore,精工皮靴·知识
Masterwork Leather Boots of Presence,精工皮靴·威严
Masterwork Leather Boots of Speed,精工皮靴·速度
Masterwork Leather Boots of Stealth,精工皮靴·潜行
Masterwork Leather Boots of Strength,精工皮靴·力量
Masterwork Leather Boots of Survival,精工皮靴·生存
Masterwork Leather Boots of Thievery,精工皮靴·偷盗
Masterwork Leather Boots of Toughness,精工皮靴·坚韧
Masterwork Leather Boots of Willpower,精工皮靴·意志
Masterwork Noble's Boots of Agility,贵族精工皮靴·敏捷
Masterwork Noble's Boots of Athletics,贵族精工皮靴·体能
Masterwork Noble's Boots of Awareness,贵族精工皮靴·感知
Masterwork Noble's Boots of Crafting,贵族精工皮靴·制作
Masterwork Noble's Boots of Defence,贵族精工皮靴·防御
Masterwork Noble's Boots of Diplomacy,贵族精工皮靴·外交
Masterwork Noble's Boots of Fortitude,贵族坚毅大师级靴子
Masterwork Noble's Boots of Healing,贵族治愈大师级靴子
Masterwork Noble's Boots of Celerity,贵族迅捷大师级靴子
Masterwork Noble's Boots of Intellect,贵族智识大师级靴子
Masterwork Noble's Boots of Lore,贵族知识大师级靴子
Masterwork Noble's Boots of Presence,贵族风度大师级靴子
Masterwork Noble's Boots of Speed,贵族速度大师级靴子
Masterwork Noble's Boots of Stealth,贵族潜行大师级靴子
Masterwork Noble's Boots of Strength,贵族力量大师级靴子
Masterwork Noble's Boots of Survival,贵族生存大师级靴子
Masterwork Noble's Boots of Thievery,贵族偷盗大师级靴子
Masterwork Noble's Boots of Toughness,贵族坚韧大师级靴子
Masterwork Noble's Boots of Willpower,贵族意志大师级靴子
Masterwork Travelers Boots of Agility,旅行者敏捷大师级靴子
Masterwork Travelers Boots of Athletics,旅行者体能大师级靴子
Masterwork Travelers Boots of Awareness,旅行者意识大师级靴子
Masterwork Travelers Boots of Crafting,旅行者制作大师级靴子
Masterwork Travelers Boots of Defence,旅行者防御大师级靴子
Masterwork Travelers Boots of Diplomacy,旅行者外交大师级靴子
Masterwork Travelers Boots of Fortitude,旅行者坚毅大师级靴子
Masterwork Travelers Boots of Healing,精工旅行靴（治愈）
Masterwork Travelers Boots of Celerity,精工旅行靴（迅捷）
Masterwork Travelers Boots of Intellect,精工旅行靴（智者）
Masterwork Travelers Boots of Lore,精工旅行靴（博学）
Masterwork Travelers Boots of Presence,精工旅行靴（魅力）
Masterwork Travelers Boots of Speed,精工旅行靴（迅跑）
Masterwork Travelers Boots of Stealth,精工旅行靴（潜行）
Masterwork Travelers Boots of Strength,精工旅行靴（力量）
Masterwork Travelers Boots of Survival,精工旅行靴（生存）
Masterwork Travelers Boots of Thievery,精工旅行靴（盗贼）
Masterwork Travelers Boots of Toughness,精工旅行靴（坚韧）
Masterwork Travelers Boots of Willpower,精工旅行靴（意志）
Masterwork Armored Gauntlets of Agility,精工护手（敏捷）
Masterwork Armored Gauntlets of Athletics,精工护手（体能）
Masterwork Armored Gauntlets of Awareness,精工护手（感知）
Masterwork Armored Gauntlets of Crafting,精工护手（制作）
Masterwork Armored Gauntlets of Defence,精工护手（防御）
Masterwork Armored Gauntlets of Diplomacy,精工护手（外交）
Masterwork Armored Gauntlets of Fortitude,精工护手（坚毅）
Masterwork Armored Gauntlets of Healing,精工护手（治愈）
Masterwork Armored Gauntlets of Celerity,精工护甲拳套·敏捷
Masterwork Armored Gauntlets of Intellect,精工护甲拳套·智力
Masterwork Armored Gauntlets of Lore,精工护甲拳套·知识
Masterwork Armored Gauntlets of Presence,精工护甲拳套·威严
Masterwork Armored Gauntlets of Speed,精工护甲拳套·速度
Masterwork Armored Gauntlets of Stealth,精工护甲拳套·潜行
Masterwork Armored Gauntlets of Strength,精工护甲拳套·力量
Masterwork Armored Gauntlets of Survival,精工护甲拳套·生存
Masterwork Armored Gauntlets of Thievery,精工护甲拳套·盗贼技巧
Masterwork Armored Gauntlets of Toughness,精工护甲拳套·坚韧
Masterwork Armored Gauntlets of Willpower,精工护甲拳套·意志力
Masterwork Leather Gloves of Agility,精工皮手套·敏捷
Masterwork Leather Gloves of Athletics,精工皮手套·体能
Masterwork Leather Gloves of Awareness,精工皮手套·警觉
Masterwork Leather Gloves of Crafting,精工皮手套·制作
Masterwork Leather Gloves of Defence,精工皮手套·防御
Masterwork Leather Gloves of Diplomacy,精工皮手套·外交
Masterwork Leather Gloves of Fortitude,精工皮手套·坚毅
Masterwork Leather Gloves of Healing,精工皮手套·治疗
Masterwork Leather Gloves of Celerity,精工皮手套·敏捷
Masterwork Leather Gloves of Intellect,精工皮质智力手套
Masterwork Leather Gloves of Lore,精工皮质学识手套
Masterwork Leather Gloves of Presence,精工皮质威严手套
Masterwork Leather Gloves of Speed,精工皮质速度手套
Masterwork Leather Gloves of Stealth,精工皮质潜行手套
Masterwork Leather Gloves of Strength,精工皮质力量手套
Masterwork Leather Gloves of Survival,精工皮质生存手套
Masterwork Leather Gloves of Thievery,精工皮质盗贼手套
Masterwork Leather Gloves of Toughness,精工皮质坚韧手套
Masterwork Leather Gloves of Willpower,精工皮质意志手套
Masterwork Mailed Gauntlets of Agility,精工锁甲手套敏捷
Masterwork Mailed Gauntlets of Athletics,精工锁甲手套体能
Masterwork Mailed Gauntlets of Awareness,精工锁甲手套警觉
Masterwork Mailed Gauntlets of Crafting,精工锁甲手套制作
Masterwork Mailed Gauntlets of Defence,精工锁甲手套防御
Masterwork Mailed Gauntlets of Diplomacy,精工锁甲手套外交
Masterwork Mailed Gauntlets of Fortitude,精工锁甲手套坚韧
Masterwork Mailed Gauntlets of Healing,精工锁甲手套治疗
Masterwork Mailed Gauntlets of Celerity,精工锁甲手套迅捷
Masterwork Mailed Gauntlets of Intellect,精工锁甲手套智力
Masterwork Mailed Gauntlets of Lore,精工锁甲手套·知识
Masterwork Mailed Gauntlets of Presence,精工锁甲手套·威严
Masterwork Mailed Gauntlets of Speed,精工锁甲手套·速度
Masterwork Mailed Gauntlets of Stealth,精工锁甲手套·潜行
Masterwork Mailed Gauntlets of Strength,精工锁甲手套·力量
Masterwork Mailed Gauntlets of Survival,精工锁甲手套·生存
Masterwork Mailed Gauntlets of Thievery,精工锁甲手套·偷盗
Masterwork Mailed Gauntlets of Toughness,精工锁甲手套·坚韧
Masterwork Mailed Gauntlets of Willpower,精工锁甲手套·意志力
Masterwork Noble's Gloves of Agility,精工贵族手套·敏捷
Masterwork Noble's Gloves of Athletics,精工贵族手套·体能
Masterwork Noble's Gloves of Awareness,精工贵族手套·警觉
Masterwork Noble's Gloves of Crafting,精工贵族手套·工艺
Masterwork Noble's Gloves of Defence,精工贵族手套·防御
Masterwork Noble's Gloves of Diplomacy,精工贵族手套·外交
Masterwork Noble's Gloves of Fortitude,精工贵族手套·坚毅
Masterwork Noble's Gloves of Healing,精工贵族手套·治疗
Masterwork Noble's Gloves of Celerity,精工贵族手套·迅捷
Masterwork Noble's Gloves of Intellect,精工贵族手套·智力
Masterwork Noble's Gloves of Lore,精工贵族手套·知识
Masterwork Noble's Gloves of Presence,名门大师级手套：存在
Masterwork Noble's Gloves of Speed,名门大师级手套：速度
Masterwork Noble's Gloves of Stealth,名门大师级手套：潜行
Masterwork Noble's Gloves of Strength,名门大师级手套：力量
Masterwork Noble's Gloves of Survival,名门大师级手套：生存
Masterwork Noble's Gloves of Thievery,名门大师级手套：盗贼技巧
Masterwork Noble's Gloves of Toughness,名门大师级手套：坚韧
Masterwork Noble's Gloves of Willpower,名门大师级手套：意志
Masterwork Travelers Gloves of Agility,名人旅行大师级手套：敏捷
Masterwork Travelers Gloves of Athletics,名人旅行大师级手套：体能
Masterwork Travelers Gloves of Awareness,名人旅行大师级手套：感知
Masterwork Travelers Gloves of Crafting,名人旅行大师级手套：制作
Masterwork Travelers Gloves of Defence,名人旅行大师级手套：防御
Masterwork Travelers Gloves of Diplomacy,名人旅行大师级手套：外交
Masterwork Travelers Gloves of Fortitude,名人旅行大师级手套：坚毅
Masterwork Travelers Gloves of Healing,名人旅行大师级手套：治疗
Masterwork Travelers Gloves of Celerity,名人旅行大师级手套：迅捷
Masterwork Travelers Gloves of Intellect,名人旅行大师级手套：智力
Masterwork Travelers Gloves of Lore,名人旅行大师级手套：知识
Masterwork Travelers Gloves of Presence,名人旅行大师级手套：存在
Masterwork Travelers Gloves of Speed,精工旅行者敏捷手套
Masterwork Travelers Gloves of Stealth,精工旅行者潜行手套
Masterwork Travelers Gloves of Strength,精工旅行者力量手套
Masterwork Travelers Gloves of Survival,精工旅行者生存手套
Masterwork Travelers Gloves of Thievery,精工旅行者盗贼手套
Masterwork Travelers Gloves of Toughness,精工旅行者坚韧手套
Masterwork Travelers Gloves of Willpower,精工旅行者意志手套
Hat of Athletics,运动帽
Hat of Awareness,感知帽
Hat of Crafting,制作帽
Hat of Defence,防御帽
Hat of Diplomacy,交际帽
Hat of Healing,治疗帽
Hat of Celerity,速效帽
Hat of Lore,知识帽
Hat of Speed,敏捷帽
Hat of Stealth,潜行帽
Hat of Survival,生存帽
Hat of Thievery,盗贼帽
Hat of Toughness,坚韧帽
Hat of Willpower,意志帽
Masterwork Full Helmet of Agility,精工敏捷全盔
Masterwork Full Helmet of Athletics,精工体能全盔
Masterwork Full Helmet of Awareness,精工警觉全盔
Masterwork Full Helmet of Crafting,精工工艺全盔
Masterwork Full Helmet of Defence,精工防御全盔
Masterwork Full Helmet of Diplomacy,精工外交全盔
Masterwork Full Helmet of Fortitude,精工坚毅全盔
Masterwork Full Helmet of Healing,精工治疗全盔
Masterwork Full Helmet of Celerity,精工迅捷全盔
Masterwork Full Helmet of Intellect,精工智力全盔
Masterwork Full Helmet of Lore,精工知识全盔
Masterwork Full Helmet of Presence,精工威望全盔
Masterwork Full Helmet of Speed,精工速度全盔
Masterwork Full Helmet of Stealth,精工潜行全盔
Masterwork Full Helmet of Strength,精工力量全盔
Masterwork Full Helmet of Survival,精工生存全盔
Masterwork Full Helmet of Thievery,精工偷盗全盔
Masterwork Full Helmet of Toughness,精工坚韧全盔
Masterwork Full Helmet of Willpower,精工意志全盔
Masterwork Horned Helmet of Agility,精工角盔（敏捷）
Masterwork Horned Helmet of Athletics,精工角盔（体能）
Masterwork Horned Helmet of Awareness,精工角盔（警觉）
Masterwork Horned Helmet of Crafting,精工角盔（工艺）
